r,g,units,value
in,oth_agr,billions of us dollars (USD),0.057649
in,veg_agr,billions of us dollars (USD),0.069509
ks,bef_agr,billions of us dollars (USD),0.488371
ks,dry_agr,billions of us dollars (USD),0.02137
ks,flo_agr,billions of us dollars (USD),0.070293
ks,grn_agr,billions of us dollars (USD),5.710391
ks,oil_agr,billions of us dollars (USD),0.361309
ks,ota_agr,billions of us dollars (USD),0.042371
ks,oth_agr,billions of us dollars (USD),0.263124
ky,bef_agr,billions of us dollars (USD),0.096449
ky,dry_agr,billions of us dollars (USD),0.040557
ky,egg_agr,billions of us dollars (USD),0.036122
ky,flo_agr,billions of us dollars (USD),0.073882
ky,grn_agr,billions of us dollars (USD),1.108139
ky,nut_agr,billions of us dollars (USD),0.006096
ky,oil_agr,billions of us dollars (USD),0.429938
ky,ota_agr,billions of us dollars (USD),0.020471
ky,oth_agr,billions of us dollars (USD),0.442844
ky,veg_agr,billions of us dollars (USD),0.022017
la,bef_agr,billions of us dollars (USD),0.014305
la,dry_agr,billions of us dollars (USD),0.000388
la,egg_agr,billions of us dollars (USD),0.001694
la,flo_agr,billions of us dollars (USD),0.093362
la,grn_agr,billions of us dollars (USD),1.425592
la,nut_agr,billions of us dollars (USD),0.017919
la,oil_agr,billions of us dollars (USD),0.431798
la,ota_agr,billions of us dollars (USD),0.00243
la,oth_agr,billions of us dollars (USD),0.732844
la,veg_agr,billions of us dollars (USD),0.047737
ma,bef_agr,billions of us dollars (USD),0.000285
ma,dry_agr,billions of us dollars (USD),0.008232
ma,egg_agr,billions of us dollars (USD),8.2e-5
ma,flo_agr,billions of us dollars (USD),0.146054
ma,nut_agr,billions of us dollars (USD),0.122384
ma,ota_agr,billions of us dollars (USD),0.000445
ma,oth_agr,billions of us dollars (USD),0.022863
ma,veg_agr,billions of us dollars (USD),0.079378
md,bef_agr,billions of us dollars (USD),0.007366
md,dry_agr,billions of us dollars (USD),0.044694
md,egg_agr,billions of us dollars (USD),0.062415
md,flo_agr,billions of us dollars (USD),0.206476
md,grn_agr,billions of us dollars (USD),0.516976
md,nut_agr,billions of us dollars (USD),0.018749
md,oil_agr,billions of us dollars (USD),0.101493
md,ota_agr,billions of us dollars (USD),0.000486
md,oth_agr,billions of us dollars (USD),0.041483
md,veg_agr,billions of us dollars (USD),0.047974
me,bef_agr,billions of us dollars (USD),0.001423
me,dry_agr,billions of us dollars (USD),0.013092
me,flo_agr,billions of us dollars (USD),0.073502
me,nut_agr,billions of us dollars (USD),0.1129
me,ota_agr,billions of us dollars (USD),0.000518
me,oth_agr,billions of us dollars (USD),0.047511
me,veg_agr,billions of us dollars (USD),0.220621
mi,bef_agr,billions of us dollars (USD),0.08984
mi,dry_agr,billions of us dollars (USD),0.185044
mi,egg_agr,billions of us dollars (USD),0.013576
mi,flo_agr,billions of us dollars (USD),0.754585
mi,grn_agr,billions of us dollars (USD),3.017416
mi,nut_agr,billions of us dollars (USD),0.249887
mi,oil_agr,billions of us dollars (USD),0.393542
mi,ota_agr,billions of us dollars (USD),0.07684
mi,oth_agr,billions of us dollars (USD),0.261667
mi,veg_agr,billions of us dollars (USD),0.454089
mn,bef_agr,billions of us dollars (USD),0.219236
mn,dry_agr,billions of us dollars (USD),0.311505
mn,egg_agr,billions of us dollars (USD),0.057391
mn,flo_agr,billions of us dollars (USD),0.214456
mn,grn_agr,billions of us dollars (USD),10.888489
mn,nut_agr,billions of us dollars (USD),0.016613
mn,oil_agr,billions of us dollars (USD),0.811451
mn,ota_agr,billions of us dollars (USD),0.439968
mn,oth_agr,billions of us dollars (USD),0.622826
mn,veg_agr,billions of us dollars (USD),0.253941
mo,bef_agr,billions of us dollars (USD),0.178482
mo,dry_agr,billions of us dollars (USD),0.018195
mo,egg_agr,billions of us dollars (USD),0.011308
mo,flo_agr,billions of us dollars (USD),0.086065
mo,grn_agr,billions of us dollars (USD),2.363812
mo,nut_agr,billions of us dollars (USD),0.024047
mo,oil_agr,billions of us dollars (USD),1.406104
mo,ota_agr,billions of us dollars (USD),0.047982
mo,oth_agr,billions of us dollars (USD),0.374954
mo,veg_agr,billions of us dollars (USD),0.055021
ms,bef_agr,billions of us dollars (USD),0.016486
ms,dry_agr,billions of us dollars (USD),0.003813
ms,egg_agr,billions of us dollars (USD),0.011675
ms,flo_agr,billions of us dollars (USD),0.06241
ms,grn_agr,billions of us dollars (USD),1.406529
ms,nut_agr,billions of us dollars (USD),0.021009
ms,oil_agr,billions of us dollars (USD),0.980881
ms,ota_agr,billions of us dollars (USD),0.007789
ms,oth_agr,billions of us dollars (USD),0.378728
ms,veg_agr,billions of us dollars (USD),0.084255
mt,bef_agr,billions of us dollars (USD),0.250294
mt,dry_agr,billions of us dollars (USD),0.004566
mt,egg_agr,billions of us dollars (USD),6.0e-6
mt,grn_agr,billions of us dollars (USD),1.582327
mt,ota_agr,billions of us dollars (USD),0.037231
mt,oth_agr,billions of us dollars (USD),0.271172
mt,veg_agr,billions of us dollars (USD),0.038307
nc,bef_agr,billions of us dollars (USD),0.01483
nc,dry_agr,billions of us dollars (USD),0.016592
nc,egg_agr,billions of us dollars (USD),0.183438
nc,flo_agr,billions of us dollars (USD),0.642401
nc,grn_agr,billions of us dollars (USD),1.033671
nc,nut_agr,billions of us dollars (USD),0.076862
nc,oil_agr,billions of us dollars (USD),0.265194
nc,ota_agr,billions of us dollars (USD),0.148698
nc,oth_agr,billions of us dollars (USD),1.528397
nc,veg_agr,billions of us dollars (USD),0.392796
nd,bef_agr,billions of us dollars (USD),0.188079
nd,dry_agr,billions of us dollars (USD),0.010094
nd,grn_agr,billions of us dollars (USD),7.69492
nd,nut_agr,billions of us dollars (USD),0.000163
nd,oil_agr,billions of us dollars (USD),1.100662
nd,ota_agr,billions of us dollars (USD),0.012642
ne,bef_agr,billions of us dollars (USD),0.795047
ne,dry_agr,billions of us dollars (USD),0.02177
ne,egg_agr,billions of us dollars (USD),0.00659
ne,flo_agr,billions of us dollars (USD),0.044711
ne,grn_agr,billions of us dollars (USD),9.486265
ne,nut_agr,billions of us dollars (USD),0.002323
ne,oil_agr,billions of us dollars (USD),0.413924
ne,ota_agr,billions of us dollars (USD),0.1147
ne,oth_agr,billions of us dollars (USD),0.396718
ne,veg_agr,billions of us dollars (USD),0.095334
nh,bef_agr,billions of us dollars (USD),0.000293
nh,dry_agr,billions of us dollars (USD),0.005854
nh,egg_agr,billions of us dollars (USD),0.000118
nh,flo_agr,billions of us dollars (USD),0.051362
nh,grn_agr,billions of us dollars (USD),0.000736
nh,ota_agr,billions of us dollars (USD),6.7e-5
nj,bef_agr,billions of us dollars (USD),0.000833
nj,dry_agr,billions of us dollars (USD),0.004663
nj,egg_agr,billions of us dollars (USD),0.000215
nj,flo_agr,billions of us dollars (USD),0.410794
nj,grn_agr,billions of us dollars (USD),0.079933
nj,nut_agr,billions of us dollars (USD),0.145672
nj,ota_agr,billions of us dollars (USD),0.000827
nj,oth_agr,billions of us dollars (USD),0.026057
nj,veg_agr,billions of us dollars (USD),0.191888
nm,bef_agr,billions of us dollars (USD),0.021604
nm,dry_agr,billions of us dollars (USD),0.007592
nm,flo_agr,billions of us dollars (USD),0.044712
nm,grn_agr,billions of us dollars (USD),0.088982
nm,nut_agr,billions of us dollars (USD),0.105878
nm,ota_agr,billions of us dollars (USD),0.000416
nm,oth_agr,billions of us dollars (USD),0.248099
nm,veg_agr,billions of us dollars (USD),0.097383
nv,bef_agr,billions of us dollars (USD),0.027115
nv,dry_agr,billions of us dollars (USD),0.001534
nv,flo_agr,billions of us dollars (USD),0.019147
nv,oth_agr,billions of us dollars (USD),0.266907
nv,veg_agr,billions of us dollars (USD),0.047876
ny,bef_agr,billions of us dollars (USD),0.033081
ny,dry_agr,billions of us dollars (USD),0.324289
ny,egg_agr,billions of us dollars (USD),0.013202
ny,flo_agr,billions of us dollars (USD),0.411824
ny,grn_agr,billions of us dollars (USD),0.576394
ny,nut_agr,billions of us dollars (USD),0.305659
ny,oil_agr,billions of us dollars (USD),0.02911
ny,ota_agr,billions of us dollars (USD),0.009524
ny,oth_agr,billions of us dollars (USD),0.191146
ny,veg_agr,billions of us dollars (USD),0.354999
oh,bef_agr,billions of us dollars (USD),0.094317
oh,dry_agr,billions of us dollars (USD),0.127073
oh,egg_agr,billions of us dollars (USD),0.033563
oh,flo_agr,billions of us dollars (USD),0.435877
oh,grn_agr,billions of us dollars (USD),3.788272
oh,nut_agr,billions of us dollars (USD),0.022465
oh,oil_agr,billions of us dollars (USD),1.696746
oh,ota_agr,billions of us dollars (USD),0.144525
oh,oth_agr,billions of us dollars (USD),0.14624
oh,veg_agr,billions of us dollars (USD),0.108868
ok,bef_agr,billions of us dollars (USD),0.255882
ok,dry_agr,billions of us dollars (USD),0.007262
ok,egg_agr,billions of us dollars (USD),0.00174
ok,flo_agr,billions of us dollars (USD),0.208943
ok,grn_agr,billions of us dollars (USD),1.068864
ok,nut_agr,billions of us dollars (USD),0.032144
ok,oil_agr,billions of us dollars (USD),0.029269
ok,ota_agr,billions of us dollars (USD),0.00403
ok,oth_agr,billions of us dollars (USD),0.248002
ok,veg_agr,billions of us dollars (USD),0.018813
or,bef_agr,billions of us dollars (USD),0.078788
or,dry_agr,billions of us dollars (USD),0.009388
or,egg_agr,billions of us dollars (USD),0.001863
or,flo_agr,billions of us dollars (USD),0.853359
or,grn_agr,billions of us dollars (USD),0.390129
or,nut_agr,billions of us dollars (USD),0.495471
or,ota_agr,billions of us dollars (USD),0.004351
or,oth_agr,billions of us dollars (USD),0.934765
or,veg_agr,billions of us dollars (USD),0.475391
pa,bef_agr,billions of us dollars (USD),0.088035
pa,dry_agr,billions of us dollars (USD),0.265544
pa,egg_agr,billions of us dollars (USD),0.077395
pa,flo_agr,billions of us dollars (USD),0.957073
pa,grn_agr,billions of us dollars (USD),0.794833
pa,nut_agr,billions of us dollars (USD),0.154531
pa,oil_agr,billions of us dollars (USD),0.056392
pa,ota_agr,billions of us dollars (USD),0.058455
pa,oth_agr,billions of us dollars (USD),0.222609
pa,veg_agr,billions of us dollars (USD),0.104795
ri,bef_agr,billions of us dollars (USD),4.7e-5
ri,dry_agr,billions of us dollars (USD),0.000355
ri,egg_agr,billions of us dollars (USD),1.0e-6
ri,flo_agr,billions of us dollars (USD),0.032669
ri,grn_agr,billions of us dollars (USD),0.000387
ri,ota_agr,billions of us dollars (USD),2.0e-6
sc,bef_agr,billions of us dollars (USD),0.004997
sc,dry_agr,billions of us dollars (USD),0.00629
sc,egg_agr,billions of us dollars (USD),0.047176
sc,flo_agr,billions of us dollars (USD),0.163846
sc,grn_agr,billions of us dollars (USD),0.355904
sc,nut_agr,billions of us dollars (USD),0.069653
sc,oil_agr,billions of us dollars (USD),0.043637
sc,ota_agr,billions of us dollars (USD),0.001678
sc,oth_agr,billions of us dollars (USD),0.48061
sc,veg_agr,billions of us dollars (USD),0.110493
sd,bef_agr,billions of us dollars (USD),0.511244
sd,dry_agr,billions of us dollars (USD),0.028065
sd,egg_agr,billions of us dollars (USD),0.021073
sd,flo_agr,billions of us dollars (USD),0.014191
sd,grn_agr,billions of us dollars (USD),4.821422
sd,nut_agr,billions of us dollars (USD),0.000783
sd,oil_agr,billions of us dollars (USD),0.344115
sd,ota_agr,billions of us dollars (USD),0.135489
sd,oth_agr,billions of us dollars (USD),0.160612
sd,veg_agr,billions of us dollars (USD),0.001543
tn,bef_agr,billions of us dollars (USD),0.027263
tn,dry_agr,billions of us dollars (USD),0.011399
tn,egg_agr,billions of us dollars (USD),0.007285
tn,flo_agr,billions of us dollars (USD),0.291948
tn,grn_agr,billions of us dollars (USD),0.958338
tn,nut_agr,billions of us dollars (USD),0.006639
tn,oil_agr,billions of us dollars (USD),0.380234
tn,ota_agr,billions of us dollars (USD),0.003303
tn,oth_agr,billions of us dollars (USD),0.314419
tn,veg_agr,billions of us dollars (USD),0.077453
tx,bef_agr,billions of us dollars (USD),0.347707
tx,dry_agr,billions of us dollars (USD),0.018359
tx,egg_agr,billions of us dollars (USD),0.009071
tx,flo_agr,billions of us dollars (USD),1.01091
tx,grn_agr,billions of us dollars (USD),2.816549
tx,nut_agr,billions of us dollars (USD),0.227399
tx,oil_agr,billions of us dollars (USD),0.01024
tx,ota_agr,billions of us dollars (USD),0.026271
tx,oth_agr,billions of us dollars (USD),2.444139
tx,veg_agr,billions of us dollars (USD),0.445883
ut,bef_agr,billions of us dollars (USD),0.037499
ut,dry_agr,billions of us dollars (USD),0.016355
ut,egg_agr,billions of us dollars (USD),0.00198
ut,flo_agr,billions of us dollars (USD),0.108987
ut,grn_agr,billions of us dollars (USD),0.052989
ut,nut_agr,billions of us dollars (USD),0.030878
ut,ota_agr,billions of us dollars (USD),0.005873
ut,oth_agr,billions of us dollars (USD),0.282705
ut,veg_agr,billions of us dollars (USD),0.01509
va,bef_agr,billions of us dollars (USD),0.049189
va,dry_agr,billions of us dollars (USD),0.037629
va,egg_agr,billions of us dollars (USD),0.024997
va,flo_agr,billions of us dollars (USD),0.250354
va,grn_agr,billions of us dollars (USD),0.382025
va,nut_agr,billions of us dollars (USD),0.062335
va,oil_agr,billions of us dollars (USD),0.155405
va,ota_agr,billions of us dollars (USD),0.003788
va,oth_agr,billions of us dollars (USD),0.306352
va,veg_agr,billions of us dollars (USD),0.085355
vt,bef_agr,billions of us dollars (USD),0.003509
vt,dry_agr,billions of us dollars (USD),0.04989
vt,egg_agr,billions of us dollars (USD),0.000346
vt,flo_agr,billions of us dollars (USD),0.02567
vt,nut_agr,billions of us dollars (USD),0.010994
vt,ota_agr,billions of us dollars (USD),0.001078
vt,oth_agr,billions of us dollars (USD),0.06075
vt,veg_agr,billions of us dollars (USD),0.018888
wa,bef_agr,billions of us dollars (USD),0.032234
wa,dry_agr,billions of us dollars (USD),0.026704
wa,egg_agr,billions of us dollars (USD),0.001277
wa,flo_agr,billions of us dollars (USD),0.350746
wa,grn_agr,billions of us dollars (USD),1.226808
wa,nut_agr,billions of us dollars (USD),2.880249
wa,oil_agr,billions of us dollars (USD),0.007977
wa,ota_agr,billions of us dollars (USD),0.002459
wa,oth_agr,billions of us dollars (USD),0.814973
wa,veg_agr,billions of us dollars (USD),1.148616
wi,bef_agr,billions of us dollars (USD),0.15498
wi,dry_agr,billions of us dollars (USD),0.642461
wi,egg_agr,billions of us dollars (USD),0.020543
wi,flo_agr,billions of us dollars (USD),0.209612
wi,grn_agr,billions of us dollars (USD),2.480507
wi,nut_agr,billions of us dollars (USD),0.220982
wi,oil_agr,billions of us dollars (USD),0.166698
wi,ota_agr,billions of us dollars (USD),0.023893
wi,oth_agr,billions of us dollars (USD),0.155853
wi,veg_agr,billions of us dollars (USD),0.517024
wv,bef_agr,billions of us dollars (USD),0.011431
wv,dry_agr,billions of us dollars (USD),0.003832
wv,egg_agr,billions of us dollars (USD),0.002246
wv,flo_agr,billions of us dollars (USD),0.032515
wv,grn_agr,billions of us dollars (USD),0.02524
wv,nut_agr,billions of us dollars (USD),0.025776
wv,ota_agr,billions of us dollars (USD),0.00105
wv,oth_agr,billions of us dollars (USD),0.024336
wv,veg_agr,billions of us dollars (USD),0.008236
wy,bef_agr,billions of us dollars (USD),0.083199
wy,dry_agr,billions of us dollars (USD),0.001321
wy,egg_agr,billions of us dollars (USD),2.0e-6
wy,flo_agr,billions of us dollars (USD),0.007596
wy,grn_agr,billions of us dollars (USD),0.098843
wy,nut_agr,billions of us dollars (USD),0.000203
wy,ota_agr,billions of us dollars (USD),0.007025
wy,oth_agr,billions of us dollars (USD),0.224958
wy,veg_agr,billions of us dollars (USD),0.00227
